COUNTRY,ISO3,REGION
Afghanistan,AFG,Eastern Mediterranean
Albania,ALB,Europe
Algeria,DZA,Africa
American Samoa,ASM,Western Pacific
Andorra,AND,Europe
Angola,AGO,Africa
Anguilla,AIA,Americas
Antigua and Barbuda,ATG,Americas
Argentina,ARG,Americas
Armenia,ARM,Europe
Aruba,ABW,Americas
Australia,AUS,Western Pacific
Austria,AUT,Europe
Azerbaijan,AZE,Europe
Bahamas,BHS,Americas
Bahrain,BHR,Eastern Mediterranean
Bangladesh,BGD,South-East Asia
Barbados,BRB,Americas
Belarus,BLR,Europe
Belgium,BEL,Europe
Belize,BLZ,Americas
Benin,BEN,Africa
Bermuda,BMU,Americas
Bhutan,BTN,South-East Asia
Bolivia (Plurinational State of),BOL,Americas
Bonaire,XAA,Americas
Bonaire,Sint Eustatius and Saba,Americas
Bosnia and Herzegovina,BIH,Europe
Botswana,BWA,Africa
Brazil,BRA,Americas
British Virgin Islands,VGB,Americas
Brunei Darussalam,BRN,Western Pacific
Bulgaria,BGR,Europe
Burkina Faso,BFA,Africa
Burundi,BDI,Africa
Côte d’Ivoire,CIV,Africa
Cabo Verde,CPV,Africa
Cambodia,KHM,Western Pacific
Cameroon,CMR,Africa
Canada,CAN,Americas
Cayman Islands,CYM,Americas
Central African Republic,CAF,Africa
Chad,TCD,Africa
Chile,CHL,Americas
China,CHN,Western Pacific
Colombia,COL,Americas
Comoros,COM,Africa
Congo,COG,Africa
Cook Islands,COK,Western Pacific
Costa Rica,CRI,Americas
Croatia,HRV,Europe
Cuba,CUB,Americas
Curaçao,CUW,Americas
Cyprus,CYP,Europe
Czechia,CZE,Europe
Democratic Republic of the Congo,COD,Africa
Denmark,DNK,Europe
Djibouti,DJI,Eastern Mediterranean
Dominica,DMA,Americas
Dominican Republic,DOM,Americas
Ecuador,ECU,Americas
Egypt,EGY,Eastern Mediterranean
El Salvador,SLV,Americas
Equatorial Guinea,GNQ,Africa
Eritrea,ERI,Africa
Estonia,EST,Europe
Eswatini,SWZ,Africa
Ethiopia,ETH,Africa
Falkland Islands (Malvinas),FLK,Americas
Faroe Islands,FRO,Europe
Fiji,FJI,Western Pacific
Finland,FIN,Europe
France,FRA,Europe
French Guiana,GUF,Americas
French Polynesia,PYF,Western Pacific
Gabon,GAB,Africa
Gambia,GMB,Africa
Georgia,GEO,Europe
Germany,DEU,Europe
Ghana,GHA,Africa
Gibraltar,GIB,Europe
Greece,GRC,Europe
Greenland,GRL,Europe
Grenada,GRD,Americas
Guadeloupe,GLP,Americas
Guam,GUM,Western Pacific
Guatemala,GTM,Americas
Guernsey,GGY,Europe
Guinea,GIN,Africa
Guinea-Bissau,GNB,Africa
Guyana,GUY,Americas
Haiti,HTI,Americas
Honduras,HND,Americas
Hungary,HUN,Europe
Iceland,ISL,Europe
India,IND,South-East Asia
Indonesia,IDN,South-East Asia
Iran (Islamic Republic of),IRN,Eastern Mediterranean
Iraq,IRQ,Eastern Mediterranean
Ireland,IRL,Europe
Isle of Man,IMN,Europe
Israel,ISR,Europe
Italy,ITA,Europe
Jamaica,JAM,Americas
Japan,JPN,Western Pacific
Jersey,JEY,Europe
Jordan,JOR,Eastern Mediterranean
Kazakhstan,KAZ,Europe
Kenya,KEN,Africa
Kiribati,KIR,Western Pacific
Kosovo,XKX,Europe
Kuwait,KWT,Eastern Mediterranean
Kyrgyzstan,KGZ,Europe
Lao People's Democratic Republic,LAO,Western Pacific
Latvia,LVA,Europe
Lebanon,LBN,Eastern Mediterranean
Lesotho,LSO,Africa
Liberia,LBR,Africa
Libya,LBY,Eastern Mediterranean
Liechtenstein,LIE,Europe
Lithuania,LTU,Europe
Luxembourg,LUX,Europe
Madagascar,MDG,Africa
Malawi,MWI,Africa
Malaysia,MYS,Western Pacific
Maldives,MDV,South-East Asia
Mali,MLI,Africa
Malta,MLT,Europe
Marshall Islands,MHL,Western Pacific
Martinique,MTQ,Americas
Mauritania,MRT,Africa
Mauritius,MUS,Africa
Mexico,MEX,Americas
Micronesia (Federated States of),FSM,Western Pacific
Monaco,MCO,Europe
Mongolia,MNG,Western Pacific
Montenegro,MNE,Europe
Montserrat,MSR,Americas
Morocco,MAR,Eastern Mediterranean
Mozambique,MOZ,Africa
Myanmar,MMR,South-East Asia
Namibia,NAM,Africa
Nauru,NRU,Western Pacific
Nepal,NPL,South-East Asia
Netherlands,NLD,Europe
New Caledonia,NCL,Western Pacific
New Zealand,NZL,Western Pacific
Nicaragua,NIC,Americas
Niger,NER,Africa
Nigeria,NGA,Africa
Niue,NIU,Western Pacific
North Macedonia,MKD,Europe
Northern Mariana Islands (Commonwealth of the),MNP,Western Pacific
Norway,NOR,Europe
occupied Palestinian territory,PSE,including east Jerusalem
Oman,OMN,Eastern Mediterranean
Pakistan,PAK,Eastern Mediterranean
Palau,PLW,Western Pacific
Panama,PAN,Americas
Papua New Guinea,PNG,Western Pacific
Paraguay,PRY,Americas
Peru,PER,Americas
Philippines,PHL,Western Pacific
Pitcairn Islands,PCN,Western Pacific
Poland,POL,Europe
Portugal,PRT,Europe
Puerto Rico,PRI,Americas
Qatar,QAT,Eastern Mediterranean
Republic of Korea,KOR,Western Pacific
Republic of Moldova,MDA,Europe
Romania,ROU,Europe
Russian Federation,RUS,Europe
Rwanda,RWA,Africa
Saba,XCA,Americas
Saint Helena,SHN,Africa
Saint Kitts and Nevis,KNA,Americas
Saint Lucia,LCA,Americas
Saint Vincent and the Grenadines,VCT,Americas
Samoa,WSM,Western Pacific
San Marino,SMR,Europe
Sao Tome and Principe,STP,Africa
Saudi Arabia,SAU,Eastern Mediterranean
Senegal,SEN,Africa
Serbia,SRB,Europe
Seychelles,SYC,Africa
Sierra Leone,SLE,Africa
