Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,612724171,7860.940386209116,2651894,34.02245517836055,159563,6517123,83.61138309425745,8166,0.10476563881757428,437,
United States of America,Americas,94787120,28636.363,345547,104.394,11168,1045356,315.815,2391,0.722,16
India,South-East Asia,44575473,3230.096,32384,2.347,3230,528562,38.301,192,0.014,32
Brazil,Americas,34632220,16292.96,45173,21.252,1226,685805,322.642,429,0.202,23
France,Europe,34126825,52471.035,239993,368.997,7489,151388,232.764,200,0.308,51
Germany,Europe,33041332,39729.035,278937,335.395,54241,149576,179.851,60,0.072,8
Republic of Korea,Western Pacific,24634296,48048.932,172614,336.682,0,28246,55.094,355,0.692,0
The United Kingdom,Europe,23621956,34796.504,16493,24.295,0,189919,279.762,45,0.066,0
Italy,Europe,22313612,37412.903,144339,242.011,10006,176912,296.626,303,0.508,32
Japan,Western Pacific,21067544,16657.285,326747,258.346,0,44375,35.086,548,0.433,0
Russian Federation,Europe,20869714,14300.744,334657,229.32,36605,386943,265.148,709,0.486,101
Türkiye,Europe,16873793,20007.09,0,0,0,101139,119.92,0,0,0
Spain,Europe,13403502,28317.688,18626,39.351,0,114009,240.868,284,0.6,0
Viet Nam,Western Pacific,11472301,11785.975,12074,12.404,0,43146,44.326,5,0.005,0
Australia,Western Pacific,10191312,39966.111,13592,53.302,0,14853,58.247,81,0.318,0
Argentina,Americas,9708420,21480.814,4482,9.917,0,129897,287.41,42,0.093,0
Netherlands,Europe,8415459,48343.633,7067,40.597,0,22637,130.041,10,0.057,0
Iran (Islamic Republic of),Eastern Mediterranean,7547397,8985.751,3849,4.583,308,144402,171.922,83,0.099,8
China,Western Pacific,7445011,506.02,261213,17.754,0,26176,1.779,464,0.032,0
Mexico,Americas,7082034,5492.812,5230,4.056,0,330046,255.983,27,0.021,0
Indonesia,South-East Asia,6425849,2349.285,12905,4.718,1976,158057,57.786,127,0.046,21
Colombia,Americas,6306552,12394.249,990,1.946,0,141769,278.618,23,0.045,0
Poland,Europe,6280530,16545.938,27489,72.419,6482,117481,309.501,115,0.303,25
Portugal,Europe,5469513,53123.168,7883,76.564,0,24973,242.553,6,0.058,0
Ukraine,Europe,5133080,11737.111,0,0,0,109045,249.338,0,0,0
Austria,Europe,5079700,57068.458,51941,583.537,5828,20713,232.703,17,0.191,0
Greece,Europe,4875215,45483.84,0,0,0,33010,307.97,0,0,0
Malaysia,Western Pacific,4831822,14928.697,11625,35.917,0,36350,112.309,33,0.102,0
Thailand,South-East Asia,4679022,6703.472,4619,6.617,351,32736,46.9,81,0.116,10
Israel,Europe,4657323,53807.417,4900,56.611,0,11687,135.023,1,0.012,0
Chile,Americas,4610353,24117.517,23201,121.368,2787,61085,319.546,162,0.847,23
Belgium,Europe,4533249,39342.787,12152,105.464,5,32659,283.438,21,0.182,1
Canada,Americas,4233468,11216.816,17326,45.906,0,44992,119.209,195,0.517,0
Peru,Americas,4141241,12559.928,8554,25.943,367,216493,656.599,184,0.558,20
Czechia,Europe,4095484,38297.245,17203,160.867,4735,41039,383.759,52,0.486,0
Switzerland,Europe,4067629,46999.521,8,0.092,0,13556,156.633,0,0,0
South Africa,Africa,4017552,6773.969,1395,2.352,0,102169,172.266,23,0.039,0
Philippines,Western Pacific,3938203,3593.871,14477,13.211,0,62790,57.3,203,0.185,0
Denmark,Europe,3293856,56568.608,5806,99.712,2572,7039,120.888,33,0.567,13
Romania,Europe,3262909,16881.041,8860,45.838,856,66981,346.534,60,0.31,3
Sweden,Europe,2583370,25014.26,2540,24.594,0,20178,195.38,3,0.029,0
Iraq,Eastern Mediterranean,2459505,6114.75,195,0.485,0,25352,63.029,0,0,0
Serbia,Europe,2351526,33948.696,15158,218.834,2486,16960,244.849,69,0.996,10
Hungary,Europe,2082750,21318.844,12307,125.973,0,47457,485.766,48,0.491,0
Bangladesh,South-East Asia,2023145,1228.461,4316,2.621,737,29360,17.828,15,0.009,1
Singapore,Western Pacific,1891341,32328.725,14757,252.242,0,1610,27.52,2,0.034,0
Slovakia,Europe,1842022,33749.814,2387,43.735,442,20453,374.743,14,0.257,3
Georgia,Europe,1780691,44638.077,8377,209.993,0,16900,423.646,0,0,0
New Zealand,Western Pacific,1758138,36459.001,0,0,0,2983,61.859,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,1965,19.259,0,14122,138.408,6,0.059,0
Ireland,Europe,1662008,33478.257,529,10.656,0,7922,159.575,21,0.423,0
Pakistan,Eastern Mediterranean,1572371,711.827,477,0.216,55,30612,13.858,5,0.002,0
Kazakhstan,Europe,1483313,7899.75,685,3.648,68,19049,101.45,1,0.005,1
Norway,Europe,1461941,27236.501,357,6.651,23,4065,75.732,0,0,0
Finland,Europe,1287044,23293.683,1124,20.343,0,5928,107.288,0,0,0
Morocco,Eastern Mediterranean,1264883,3426.887,98,0.266,4,16278,44.101,1,0.003,0
Bulgaria,Europe,1256266,18071.916,3651,52.521,1127,37704,542.388,22,0.316,6
Lithuania,Europe,1244174,44528.773,5820,208.297,0,9315,333.382,7,0.251,0
Croatia,Europe,1229044,30285.708,4159,102.485,30,16881,415.976,32,0.789,4
Lebanon,Eastern Mediterranean,1215148,17803.206,1084,15.882,256,10672,156.356,11,0.161,1
Slovenia,Europe,1171695,55905.186,13886,662.544,721,8245,393.394,5,0.239,0
